"species","algoritmo","AUC","TSS","pROC","omission"
"Vriesea_vagans_N_050","bioclim",0.813214285714285,0.5975,1.97381908383473,0.17607001669846
"Vriesea_vagans_N_100","bioclim",0.827307692307693,0.568173076923077,1.93891299403824,0.232095811266258
"Acianthera_sonderiana_C_010","glm",0.593125,0.28,1.47229950365858,NA
"Acianthera_sonderiana_C_020","glm",0.655416666666667,0.5525,1.45291998925127,NA
"Acianthera_sonderiana_C_050","glm",0.749791666666667,0.573333333333333,1.49457846245806,NA
"Acianthera_sonderiana_C_100","glm",0.845576923076923,0.634326923076923,1.56882633927064,0
"Acianthera_sonderiana_N_010","glm",0.53375,0.3475,1.37969359865055,NA
"Acianthera_sonderiana_N_020","glm",0.893333333333333,0.82375,1.58050066957981,NA
"Acianthera_sonderiana_N_050","glm",0.769791666666667,0.635833333333333,1.49456579914866,NA
"Acianthera_sonderiana_N_100","glm",0.870096153846154,0.672307692307692,1.57340343231758,0.666666666666667
"Aechmea_distichantha_C_010","glm",0.53,0.290416666666667,1.3404095897436,NA
"Aechmea_distichantha_C_020","glm",0.7795,0.58375,1.36671136960962,NA
"Aechmea_distichantha_C_050","glm",0.843942307692307,0.588557692307692,1.42073789312806,0.687010954616588
"Aechmea_distichantha_C_100","glm",0.838125,0.583557692307692,1.44345770199366,0.204972707693067
"Aechmea_distichantha_N_010","glm",0.757916666666667,0.63,1.49505890327551,NA
"Aechmea_distichantha_N_020","glm",0.85975,0.6875,1.50440155213326,1
"Aechmea_distichantha_N_050","glm",0.788942307692308,0.582115384615384,1.39082998842395,0.557522123893806
"Aechmea_distichantha_N_100","glm",0.821538461538462,0.565865384615385,1.47360690351422,0.222515718231303
"Aechmea_lamarchei_C_010","glm",0.29125,0.04125,1.06936915405331,NA
"Aechmea_lamarchei_C_020","glm",0.692916666666667,0.549583333333333,1.34323930551819,NA
"Aechmea_lamarchei_C_050","glm",0.770416666666667,0.54625,1.22525829245031,NA
"Aechmea_lamarchei_C_100","glm",0.813958333333333,0.58625,1.22312232784867,1
"Aechmea_lamarchei_N_010","glm",0.745,0.61625,1.47169869134505,NA
"Aechmea_lamarchei_N_020","glm",0.725,0.61375,1.47473520761339,NA
"Aechmea_lamarchei_N_050","glm",0.725,0.4675,1.24167189019425,NA
"Aechmea_lamarchei_N_100","glm",0.767395833333333,0.532083333333333,1.20580979433116,1
